"PIS",  "LFBI", "120",                                                          
"MSP",  "KMSP", "815",                                                          
"SPU",  "LDSP", "235",                                                          
"YMX",  "CYMX", "630",                                                          
"TOS",  "ENTC", "300",                                                          
"BCN",  "LEBL", "220",                                                          
"BFS",  "EGAA", "130",                                                          
"BGO",  "ENBR", "200",                                                          
"YYZ",  "CYYZ", "715",                                                          
"ZRH",  "LSZH", "145",                                                          
"RTM",  "EHRD", "120",                                                          
"RUH",  "OERK", "650",                                                          
"SCQ",  "LEST", "205",                                                          
"LED",  "ULLI", "320",                                                          
"FNI",  "LFTW", "200",                                                          
"DTW",  "KDTW", "730",                                                          
"DOH",  "OTHH", "730",                                                          
"EBB",  "HUEN", "845",                                                          
"MRU",  "FIMP", "1215",                                                         
"MSY",  "KMSY", "945",                                                          
"AUH",  "OMAA", "745",                                                          
"VST",  "ESOW", "210",                                                          
"DLM",  "LTBS", "400",                                                          
"PGF",  "LFMP", "200",                                                          
"TLS",  "LFBO", "155",                                                          
"SEA",  "KSEA", "920",                                                          
"CPH",  "EKCH", "155",                                                          
"LUN",  "FLLS", "950",                                                          
"AYT",  "LTAI", "415",                                                          
"CAG",  "LIEE", "235",                                                          
"ISB",  "OPRN", "825",                                                          
"CAS",  "GMMC", "320",                                                          
"CMN",  "GMMN", "315",                                                          
"MCO",  "KMCO", "805",                                                          
"DME",  "UUDD", "405",                                                          
"CGN",  "EDDK", "120",                                                          
"JED",  "OEJN", "630",                                                          
"KEF",  "BIKF", "300",                                                          
"KOI",  "EGPA", "150",                                                          
"BRS",  "EGGD", "40",                                                           
"BRU",  "EBBR", "115",                                                          
"MCT",  "OOMS", "835",                                                          
"BIQ",  "LFBZ", "200",                                                          
"HNL",  "PHNL", "1835",                                                         
"SYY",  "EGPO", "150",                                                          
"YVR",  "CYVR", "920",                                                          
"TRS",  "LIPQ", "210",                                                          
"ADB",  "LTBJ", "400",                                                          
"ATQ",  "VIAR", "915",                                                          
"MDW",  "KMDW", "800",                                                          
"BSL",  "LFSB", "135",                                                          
"MST",  "EHBK", "115",                                                          
"YUL",  "CYUL", "630",                                                          
"YYC",  "CYYC", "850",                                                          
"PIT",  "KPIT", "715",                                                          
"NAS",  "MYNN", "840",                                                          
"BEY",  "OLBA", "505",                                                          
"LAS",  "KLAS", "950",                                                          
"LBV",  "FOOL", "700",                                                          
"LRH",  "LFBH", "130",                                                          
"BAH",  "OBBI", "725",                                                          
"DXB",  "OMDB", "745",                                                          
"LOS",  "DNMM", "625",                                                          
"AOI",  "LIPY", "235",                                                          
