"TK1991",   "A", "1111111", "350",                                      "IST"   
"TU790",    "A", "0100111", "255",                                      "TUN"   
"9W122",    "A", "1111111", "915",                                      "DEL"   
"VS301",    "A", "1111111", "930",                                      "DEL"   
"DL018",    "A", "1111111", "743",                                      "DTW"   
"AI172",    "D", "0001000", "840",                                      "AMD"   
"AI171",    "A", "1010101", "950",                                      "AMD"   
"AI175",    "A", "1111111", "1045",                                     "AMD"   
"AC860",    "A", "1111111", "550",                                      "YHZ"   
"VS148",    "A", "1111111", "915",                                      "HAV"   
"VS154",    "A", "1111111", "705",                                      "JFK"   
"VS462",    "A", "1111111", "1120",                                     "JNB"   
"VS412",    "A", "1111111", "655",                                      "LOS"   
"VS450",    "A", "1111111", "1120",                                     "JNB"   
"VS156",    "A", "1111111", "950",                                      "LAS"   
"AI131",    "A", "1111111", "1000",                                     "BOM"   
"EY009",    "A", "1111111", "735",                                      "AUH"   
"EY025",    "A", "1111111", "740",                                      "AUH"   
"ET710",    "A", "1110011", "745",                                      "ADD"   
"ME201",    "A", "1111111", "505",                                      "BEY"   
"ME203",    "A", "1111111", "510",                                      "BEY"   
"AM007",    "A", "1111111", "1025",                                     "MEX"   
"VS586",    "A", "1111111", "1015",                                     "JFK"   
"CI081",    "A", "1111111", "1355",                                     "TPE"   
"AC896",    "A", "1111111", "915",                                      "YVR"   
"BA008",    "A", "1111111", "1220",                                     "HND"   
"UA934",    "A", "1111111", "700",                                      "EWR"   
"UA016",    "A", "1111111", "705",                                      "EWR"   
"BE2123",   "A", "1111111", "200",                                      "ABZ"   
"DL016",    "A", "1111111", "724",                                      "DTW"   
"UA077",    "A", "1111111", "705",                                      "EWR"   
"UA029",    "A", "1111111", "720",                                      "EWR"   
"UA940",    "A", "1111111", "705",                                      "EWR"   
"SV113",    "A", "1101100", "620",                                      "JED"   
"SV115",    "A", "0010011", "630",                                      "JED"   
"VS540",    "A", "1111111", "730",                                      "ORD"   
"CZ303",    "A", "1111111", "1300",                                     "CAN"   
"CZ603",    "A", "1111111", "1240",                                     "CAN"   
"DL032",    "A", "1111111", "1156",                                     "ATL"   
"QF009",    "A", "1111111", "1720",                                     "PER"   
"BA280",    "A", "1111111", "1035",                                     "LAX"   
"GS7987",   "A", "1000100", "1555",                                     "TSN"   
"GS7987",   "A", "0000001", "1555",                                     "TSN"   
"AI172",    "D", "0100010", "900",                                      "AMD"   
"BA290",    "A", "1111111", "955",                                      "PHX"   
"DL030",    "A", "1111111", "823",                                      "ATL"   
"CZ8197",   "A", "1111111", "1130",                                     "CKG"   
"PR720",    "A", "1001000", "1400",                                     "MNL"   
"BA224",    "A", "1111111", "840",                                      "MSY"   
"BE2121",   "A", "1111111", "200",                                      "ABZ"   
"BE2125",   "A", "1111111", "200",                                      "ABZ"   
"BE2127",   "A", "1111111", "200",                                      "ABZ"   
"BE2101",   "A", "1111111", "145",                                      "EDI"   
"BE2103",   "A", "1111111", "145",                                      "EDI"   
"BE2105",   "A", "1111111", "145",                                      "EDI"   
"BE2107",   "A", "1111111", "145",                                      "EDI"   
"BE2109",   "A", "1111111", "145",                                      "EDI"   
"BI003",    "A", "1111111", "1410",                                     "BWN"   
"ET700",    "A", "0111111", "815",                                      "ADD"   
"VN655",    "A", "1111111", "1250",                                     "HAN"   
"VS604",    "A", "1111111", "925",                                      "JFK"   
"BE2111",   "A", "1111111", "140",                                      "EDI"   
"BE2195",   "A", "1111111", "105",                                      "GCI"   
"BE2181",   "A", "1111111", "110",                                      "NQY"   
"BE2183",   "A", "1111111", "110",                                      "NQY"   
"BE2185",   "A", "1111111", "110",                                      "NQY"   
"BE2187",   "A", "1111111", "110",                                      "NQY"   
"BE2155",   "A", "1111111", "110",                                      "IOM"   
"BA252",    "A", "1111110", "900",                                      "GCM"   
"BA252",    "A", "0000001", "1050",                                     "GCM"   
"VS166",    "A", "1111111", "840",                                      "MBJ"   
"AI177",    "A", "0100010", "1055",                                     "BLR"   
"AI177",    "A", "0001000", "1100",                                     "BLR"   
"PK757",    "A", "1011010", "830",                                      "LHE"   
"PK785",    "A", "1110011", "810",                                      "ISB"   
"PK785",    "A", "0001000", "830",                                      "ISB"   
"PK787",    "A", "0000001", "830",                                      "KHI"   
"BA124",    "A", "1111111", "910",                                      "DMM"   
"UA2795",   "A", "1111111", "805",                                      "ORD"   
"AA106",    "A", "1111111", "705",                                      "JFK"   
"UK017",    "A", "1111111", "935",                                      "DEL"   
"VS207",    "A", "1111111", "1300",                                     "HKG"   
"VS303",    "A", "1111111", "915",                                      "DEL"   
"VS355",    "A", "1111111", "1010",                                     "BOM"   
"VS454",    "A", "1111111", "500",                                      "TLV"   
"CA849",    "A", "1111111", "1215",                                     "PVG"   
"CA855",    "A", "1111111", "1115",                                     "PEK"   
"VS106",    "A", "1111111", "900",                                      "SEA"   
"UA923",    "A", "1111111", "1025",                                     "LAX"   
"AA194",    "A", "1111111", "1010",                                     "PHX"   
"VS688",    "A", "1111111", "655",                                      "JFK"   
"VS514",    "A", "1111111", "804",                                      "ATL"   
"EK007",    "A", "1111111", "735",                                      "DXB"   
"DL036",    "A", "1111111", "1004",                                     "PDX"   
"SV121",    "A", "0100000", "715",                                      "RUH"   
"VS026",    "A", "1111111", "655",                                      "JFK"   
"BA042",    "A", "1111111", "1145",                                     "CPT"   
"VS602",    "A", "1111111", "1125",                                     "JNB"   
"TG916",    "A", "1111111", "1205",                                     "BKK"   
"EY017",    "A", "1111111", "740",                                      "AUH"   
"EY019",    "A", "1111111", "740",                                      "AUH"   
"SV119",    "A", "0001000", "715",                                      "RUH"   
"KU102",    "A", "0010101", "700",                                      "JFK"   
"KU102",    "D", "0010101", "830",                                      "KWI"   
"VS652",    "A", "1111111", "655",                                      "LOS"   
"VS006",    "A", "1111111", "835",                                      "MIA"   
"VS251",    "A", "1111111", "1240",                                     "PVG"   
"AA104",    "A", "1111111", "655",                                      "JFK"   
"AA050",    "A", "1111111", "905",                                      "DFW"   
"VS401",    "A", "1111111", "810",                                      "DXB"   
"SA236",    "A", "1111111", "1140",                                     "JNB"   
"AA078",    "A", "1111111", "900",                                      "DFW"   
"AA080",    "A", "1111111", "915",                                      "DFW"   
"BA132",    "A", "1111011", "705",                                      "JED"   
"LY317",    "A", "1111001", "525",                                      "TLV"   
"SQ7394",   "A", "0000010", "1610",                                     "SIN"   
